# ZZ,NN,Existence
36,68,bound
36,69,bound
36,70,bound
36,71,bound
36,72,bound
36,73,bound
36,74,bound
36,75,bound
36,76,bound
36,77,bound
36,78,bound
36,79,bound
36,80,bound
36,81,bound
36,82,bound
36,83,bound
36,84,bound
36,85,unbound
36,86,unbound
36,87,unbound
36,88,unbound
36,89,unbound
36,90,unbound
36,91,unbound
36,92,unbound
36,93,unbound
36,94,unbound
36,95,unbound
36,96,unbound
36,97,unbound
36,98,unbound
36,99,unbound
37,28,unbound
37,29,bound
37,30,bound
37,31,bound
37,32,bound
37,33,bound
37,34,bound
37,35,bound
37,36,bound
37,37,bound
37,38,bound
37,39,bound
37,40,bound
37,41,bound
37,42,bound
37,43,bound
37,44,bound
37,45,bound
37,46,bound
37,47,bound
37,48,bound
37,49,bound
37,50,bound
37,51,bound
37,52,bound
37,53,bound
37,54,bound
37,55,bound
37,56,bound
37,57,bound
37,58,bound
37,59,bound
37,60,bound
37,61,bound
37,62,bound
37,63,bound
37,64,bound
37,65,bound
37,66,bound
37,67,bound
37,68,bound
37,69,bound
37,70,bound
37,71,bound
37,72,bound
37,73,bound
37,74,bound
37,75,bound
37,76,bound
37,77,bound
37,78,bound
37,79,bound
37,80,bound
37,81,bound
37,82,bound
37,83,bound
37,84,bound
37,85,unbound
37,86,unbound
37,87,unbound
37,88,unbound
37,89,unbound
37,90,unbound
37,91,unbound
37,92,unbound
37,93,unbound
37,94,unbound
37,95,unbound
37,96,unbound
37,97,unbound
37,98,unbound
37,99,unbound
37,100,unbound
37,101,unbound
38,30,unbound
38,31,bound
38,32,bound
38,33,bound
38,34,bound
38,35,bound
38,36,bound
38,37,bound
38,38,bound
38,39,bound
38,40,bound
38,41,bound
38,42,bound
38,43,bound
38,44,bound
38,45,bound
38,46,bound
38,47,bound
38,48,bound
38,49,bound
38,50,bound
38,51,bound
38,52,bound
38,53,bound
38,54,bound
38,55,bound
38,56,bound
38,57,bound
38,58,bound
38,59,bound
38,60,bound
38,61,bound
38,62,bound
38,63,bound
38,64,bound
38,65,bound
38,66,bound
38,67,bound
38,68,bound
38,69,bound
38,70,bound
38,71,bound
38,72,bound
38,73,bound
38,74,bound
38,75,bound
38,76,bound
38,77,bound
38,78,bound
38,79,bound
38,80,bound
38,81,bound
38,82,bound
38,83,unbound
38,84,bound
38,85,unbound
38,86,unbound
38,87,unbound
38,88,unbound
38,89,unbound
38,90,unbound
38,91,unbound
38,92,unbound
38,93,unbound
38,94,unbound
38,95,unbound
38,96,unbound
38,97,unbound
38,98,unbound
38,99,unbound
38,100,unbound
38,101,unbound
38,102,unbound
38,103,unbound
38,104,unbound
39,30,unbound
39,31,bound
39,32,bound
39,33,bound
39,34,bound
39,35,bound
39,36,bound
39,37,bound
39,38,bound
39,39,bound
39,40,bound
39,41,bound
39,42,bound
39,43,bound
39,44,bound
39,45,bound
39,46,bound
39,47,bound
39,48,bound
39,49,bound
39,50,bound
39,51,bound
39,52,bound
39,53,bound
39,54,bound
39,55,bound
39,56,bound
39,57,bound
39,58,bound
39,59,bound
39,60,bound
39,61,bound
39,62,bound
39,63,bound
39,64,bound
39,65,bound
39,66,bound
39,67,bound
39,68,bound
39,69,bound
39,70,bound
39,71,bound
39,72,bound
39,73,bound
39,74,bound
39,75,bound
39,76,bound
39,77,bound
39,78,bound
39,79,bound
39,80,bound
39,81,bound
39,82,bound
39,83,unbound
39,84,bound
39,85,unbound
39,86,unbound
39,87,unbound
39,88,unbound
39,89,unbound
39,90,unbound
39,91,unbound
39,92,unbound
39,93,unbound
39,94,unbound
39,95,unbound
39,96,unbound
39,97,unbound
39,98,unbound
39,99,unbound
39,100,unbound
39,101,unbound
39,102,unbound
39,103,unbound
39,104,unbound
39,105,unbound
39,106,unbound
39,107,unbound
40,32,unbound
40,33,bound
40,34,bound
40,35,bound
40,36,bound
40,37,bound
40,38,bound
40,39,bound
40,40,bound
40,41,bound
40,42,bound
40,43,bound
40,44,bound
40,45,bound
40,46,bound
40,47,bound
40,48,bound
40,49,bound
40,50,bound
40,51,bound
40,52,bound
40,53,bound
40,54,bound
40,55,bound
40,56,bound
40,57,bound
40,58,bound
40,59,bound
40,60,bound
40,61,bound
40,62,bound
40,63,bound
40,64,bound
40,65,bound
40,66,bound
40,67,bound
40,68,bound
40,69,bound
40,70,bound
40,71,bound
40,72,bound
40,73,bound
40,74,bound
40,75,bound
40,76,bound
40,77,bound
40,78,bound
40,79,bound
40,80,bound
40,81,bound
40,82,bound
40,83,unbound
40,84,bound
40,85,unbound
40,86,bound
40,87,unbound
40,88,bound
40,89,unbound
40,90,unbound
40,91,unbound
40,92,unbound
40,93,unbound
40,94,unbound
40,95,unbound
40,96,unbound
40,97,unbound
40,98,unbound
40,99,unbound
40,100,unbound
40,101,unbound
40,102,unbound
40,103,unbound
40,104,unbound
40,105,unbound
40,106,unbound
40,107,unbound
40,108,unbound
40,109,unbound
41,32,unbound
41,33,bound
41,34,bound
41,35,bound
41,36,bound
41,37,bound
41,38,bound
41,39,bound
41,40,bound
41,41,bound
41,42,bound
41,43,bound
41,44,bound
41,45,bound
41,46,bound
41,47,bound
41,48,bound
41,49,bound
41,50,bound
41,51,bound
41,52,bound
41,53,bound
41,54,bound
41,55,bound
41,56,bound
41,57,bound
41,58,bound
41,59,bound
41,60,bound
41,61,bound
41,62,bound
41,63,bound
41,64,bound
41,65,bound
41,66,bound
41,67,bound
41,68,bound
41,69,bound
41,70,bound
41,71,bound
41,72,bound
41,73,bound
41,74,bound
41,75,bound
41,76,bound
41,77,bound
41,78,bound
41,79,bound
41,80,bound
41,81,bound
41,82,bound
41,83,bound
41,84,bound
41,85,bound
41,86,bound
41,87,unbound
41,88,bound
41,89,unbound
41,90,bound
41,91,unbound
41,92,bound
41,93,unbound
41,94,bound
41,95,unbound
41,96,unbound
41,97,unbound
41,98,unbound
41,99,unbound
41,100,unbound
41,101,unbound
41,102,unbound
41,103,unbound
41,104,unbound
41,105,unbound
41,106,unbound
41,107,unbound
41,108,unbound
41,109,unbound
41,110,unbound
41,111,unbound
42,34,unbound
42,35,bound
42,36,bound
42,37,bound
42,38,bound
42,39,bound
42,40,bound
42,41,bound
42,42,bound
42,43,bound
42,44,bound
42,45,bound
42,46,bound
42,47,bound
42,48,bound
42,49,bound
42,50,bound
42,51,bound
42,52,bound
42,53,bound
42,54,bound
42,55,bound
42,56,bound
42,57,bound
42,58,bound
42,59,bound
42,60,bound
42,61,bound
42,62,bound
42,63,bound
42,64,bound
42,65,bound
42,66,bound
42,67,bound
42,68,bound
42,69,bound
42,70,bound
42,71,bound
42,72,bound
42,73,bound
42,74,bound
42,75,bound
42,76,bound
42,77,bound
42,78,bound
42,79,bound
42,80,bound
42,81,bound
42,82,bound
42,83,bound
42,84,bound
42,85,bound
42,86,bound
42,87,unbound
42,88,bound
42,89,unbound
42,90,bound
42,91,unbound
42,92,bound
42,93,unbound
42,94,bound
